year,month,monthly_return,active_month
2008,1,0.0212,True
2008,2,0.0066,True
2008,3,-0.0032,True
2008,4,-0.0273,True
2008,5,0.0087,True
2008,6,0.0084,True
2008,7,0.0143,True
2008,8,0.0288,True
2008,9,-0.0401,True
2008,10,-0.0158,True
2008,11,0.0586,True
2008,12,0.0627,True
2009,1,0.0759,True
2009,2,-0.0145,True
2009,3,-0.0248,True
2009,4,0.0203,True
2009,5,0.0251,True
2009,6,0.0057,True
2009,7,0.0124,True
2009,8,0.0107,True
2009,9,0.0023,True
2009,10,0.0218,True
2009,11,0.0076,True
2009,12,0.0133,True
2010,1,0.0298,True
2010,2,0.0076,True
2010,3,0.0202,True
2010,4,-0.0072,True
2010,5,0.0832,True
2010,6,0.0384,True
2010,7,0.0198,True
2010,8,-0.0129,True
2010,9,0.0019,True
2010,10,0.0346,True
2010,11,0.0085,True
2010,12,0.0288,True
2011,1,0.0411,True
2011,2,-0.0040,True
2011,3,0.0153,True
2011,4,-0.0134,True
2011,5,-0.0092,True
2011,6,0.0197,True
2011,7,0.0162,True
2011,8,-0.0029,True
2011,9,-0.0158,True
2011,10,0.0229,True
2011,11,-0.0066,True
2011,12,0.0075,True
2012,1,0.0003,True
2012,2,0.0182,True
2012,3,-0.0090,True
2012,4,0.0020,True
2012,5,-0.0019,True
2012,6,-0.0212,True
2012,7,-0.0111,True
2012,8,0.0279,True
2012,9,-0.0037,True
2012,10,0.0041,True
2012,11,-0.0096,True
2012,12,0.0001,True
2013,1,-0.0181,True
2013,2,0.0037,True
2013,3,0.0081,True
2013,4,0.0153,True
2013,5,-0.0027,True
2013,6,-0.0040,True
2013,7,0.0095,True
2013,8,0.0017,True
2013,9,0.0053,True
2013,10,0.0052,True
2013,11,0.0053,True
2013,12,-0.0045,True
2014,1,0.0057,True
2014,2,0.0007,True
2014,3,0.0030,True
2014,4,0.0000,False
2014,5,0.0000,False
2014,6,0.0096,True
2014,7,0.0000,False
2014,8,0.0000,False
2014,9,0.0009,True
2014,10,-0.0250,True
2014,11,0.0047,True
2014,12,0.0035,True
2015,1,0.0210,True
2015,2,0.0230,True
2015,3,0.0474,True
2015,4,-0.0024,True
2015,5,0.0103,True
2015,6,0.0301,True
2015,7,0.0160,True
2015,8,0.0177,True
2015,9,0.0020,True
2015,10,0.0125,True
2015,11,0.0065,True
2015,12,-0.0014,True
2016,1,0.0083,True
2016,2,0.0166,True
2016,3,0.0160,True
2016,4,0.0108,True
2016,5,0.0052,True
2016,6,0.0387,True
2016,7,-0.0051,True
2016,8,-0.0046,True
2016,9,0.0051,True
2016,10,0.0165,True
2016,11,0.0000,True
2016,12,0.0014,True
2017,1,-0.0107,True
2017,2,0.0040,True
2017,3,0.0000,False
2017,4,0.0000,False
2017,5,0.0000,False
2017,6,0.0031,True
2017,7,0.0061,True
2017,8,0.0205,True
2017,9,0.0194,True
2017,10,0.0038,True
2017,11,0.0000,False
2017,12,0.0078,True
2018,1,0.0168,True
2018,2,0.0011,True
2018,3,0.0000,False
2018,4,0.0000,False
2018,5,-0.0015,True
2018,6,0.0074,True
2018,7,0.0034,True
2018,8,0.0117,True
2018,9,-0.0076,True
2018,10,0.0000,False
2018,11,-0.0077,True
2018,12,0.0000,False
2019,1,-0.0002,True
2019,2,0.0000,False
2019,3,0.0000,False
2019,4,0.0000,False
2019,5,0.0000,False
2019,6,0.0010,True
2019,7,0.0000,False
2019,8,0.0000,False
2019,9,0.0033,True
2019,10,0.0040,True
2019,11,0.0000,False
2019,12,0.0000,False
2020,1,0.0000,False
2020,2,0.0000,False
2020,3,0.0630,True
2020,4,0.0063,True
2020,5,0.0091,True
2020,6,0.0071,True
2020,7,0.0058,True
2020,8,0.0060,True
2020,9,0.0094,True
2020,10,0.0000,False
2020,11,0.0072,True
2020,12,0.0006,True
2021,1,0.0000,False
2021,2,0.0024,True
2021,3,0.0000,False
2021,4,0.0000,False
2021,5,0.0064,True
2021,6,-0.0028,True
2021,7,0.0000,False
2021,8,0.0000,False
2021,9,0.0000,False
2021,10,0.0000,False
2021,11,0.0052,True
2021,12,0.0000,False
2022,1,0.0000,False
2022,2,0.0167,True
2022,3,-0.0001,True
2022,4,-0.0083,True
2022,5,0.0165,True
2022,6,0.0093,True
2022,7,-0.0009,True
2022,8,0.0141,True
2022,9,-0.0232,True
2022,10,0.0232,True
2022,11,-0.0028,True
2022,12,0.0144,True
2023,1,-0.0110,True
2023,2,-0.0056,True
2023,3,-0.0100,True
2023,4,0.0050,True
2023,5,0.0100,True
2023,6,0.0031,True
2023,7,0.0042,True
2023,8,-0.0102,True
2023,9,-0.0109,True
2023,10,-0.0116,True
2023,11,0.0000,False
2023,12,0.0070,True
2024,1,0.0000,False
2024,2,0.0000,False
2024,3,0.0000,False
2024,4,-0.0050,True
2024,5,0.0000,False
2024,6,0.0090,True
2024,7,0.0051,True
2024,8,0.0039,True
2024,9,0.0051,True
2024,10,0.0052,True
2024,11,-0.0056,True
2024,12,0.0023,True
2025,1,0.0245,True
2025,2,0.0133,True
2025,3,0.0079,True
2025,4,-0.0157,True
2025,5,-0.0211,True
2025,6,0.0136,True
2025,7,-0.0063,True
2025,8,0.0083,True
